city_id,city_name
751,Matnog
908,Alicia
1056,San Isidro
133,Lidlidda
6,Kalinga
294,Quezon
1733,Calbayog City
173,Santo Tomas
731,Mobo
686,Goa
788,Sibalom
224,Buguey
624,Alcantara
55,Baguio
5,Ifugao
270,Roxas
1030,Bato
214,Sabtang
1189,Buug
453,Ternate
1739,San Juan (Cabalian)
745,Castilla
1748,Sominot (Don Mariano Marcos)
534,Polillo
613,Linapacan
1603,Santa Maria
423,Cabangan
635,San Agustin
287,Bambang
1297,Maco
735,Placer
363,Licab
500,San Luis
73,Hingyon
263,Mallig
914,Dimiao
622,Taytay
713,Pandan
43,Guimaras
1228,Mahinog
1435,Gigaquit
277,San Pablo
10,La Union
1371,Koronadal City
1589,Zamboanga City
946,Dalaguete
1290,Tagoloan
415,San Clemente
25,Laguna
768,Malinao
75,Kiangan
1377,Tampakan
823,Barotac Viejo
782,Libertad
1052,Merida
1531,Datu Piang
335,Guiguinto
501,San Nicolas
1613,Alicia
888,Dauis
165,Caba
977,Bindoy
770,New Washington
618,Rizal
78,Basilan
1686,Danao City
227,Claveria
1593,Vigan City
471,Pangil
445,Magallanes
1620,San Jose City
940,Carmen
1812,Tinoc
369,Quezon
1200,Siay
313,San Luis
1663,Pres. Carlos P. Garcia (Pitogo)
717,Viga
463,Lumban
353,Bongabon
538,Dolores
905,Talibon
1147,Piñan
1133,Tomas Oppus
816,Ajuy
550,San Andres
1397,Kitcharao
766,Makato
834,Guimbal
824,Batad
11,Navotas
762,Kalibo
578,Paluan
848,Pototan
1655,La Carlota City
885,Catigbian
567,Gasan
1561,Jolo
168,Pugo
272,San Guillermo
192,Burgos
898,Danao
1093,Calbiga
829,Concepcion
404,Bamban
58,Buguias
77,Surigao del Sur
987,Sibulan
1606,Sual
609,Cuyo
1758,Tangub City
1205,Baungon
70,Sarangani
228,Enrile
836,Janiuay
650,Manito
210,Basco
1664,Sagbayan (Borja)
325,Samal
1447,Tubod
155,Tagudin
959,Ronda
145,Santa Catalina
47,Conner
790,Tobias Fornier
12,Parañaque
258,Gamu
1607,Tayug
371,San Antonio
251,Cabatuan
414,Ramos
1173,Mahayag
765,Madalag
1028,Babatngon
640,Santa Maria
55,Southern Leyte
1649,Bacolod City
450,Rosario
199,Lingayen
847,Pavia
495,Nasugbu
607,Coron
198,Laoac
634,Romblon
545,General Luna
1262,Jimenez
237,Rizal
687,Lagonoy
1080,Palapag
13,Cagayan
1322,Santa Cruz
1609,Urbiztondo
814,Sibunag
1321,Padada
1097,Jiabong
695,Pamplona
777,Bugasong
981,Mabinay
980,La Libertad
57,Bokod
708,Bagamanoc
1616,Cabanatuan City
252,Cauayan City
191,Bugallon
870,Manapla
1234,Baroy
34,Peñarrubia
1278,Kinoguitan
1113,Villareal
60,Camiguin
1106,San Sebastian
491,Lobo
217,Abulug
853,San Rafael
698,Presentacion
1734,Catbalogan City
579,Rizal
1529,Datu Odin Sinsuat
253,Cordon
530,Mauban
72,Sultan Kudarat
1061,Tanauan
50,Biliran
877,Toboso
1560,Indanan
339,Meycauayan City
170,San Fernando City
838,Leganes
552,San Narciso
1656,Sagay City
1720,Guihulngan
144,Santa
108,Currimao
1450,Bayabas
1422,Dinagat
784,Patnongon
344,Plaridel
349,San Rafael
942,Compostela
348,San Miguel
140,San Esteban
364,Llanera
220,Amulung
700,Sagñay
1474,Maluso
710,Bato
749,Juban
1475,Sumisip
1075,Las Navas
4,Benguet
381,San Fernando
953,Minglanilla
1424,Loreto
741,Barcelona
248,Benito Soliven
872,Murcia
1458,Lianga
71,Asipulo
1550,South Upi
1256,Baliangao
1653,Himamaylan City
289,Diadi
56,Bakun
1083,San Antonio
1107,Santa Margarita
